,Year,ppsf_doll_pred,Latitude,Longitude,air
17443,2012,114.21356679806917,33.75,243.75,19.313710833333356
17678,2015,151.32307834748494,33.75,243.75,20.54795666666669
16872,2013,129.04094605472636,43.75,243.75,6.076885000000016
4664,2015,97.47895407408407,36.25,281.25,15.663163333333358
16185,2014,94.69015572868427,36.25,263.75,20.25845750000002
19607,2018,230.62671994807567,38.75,238.75,16.066962222222244
18048,2020,214.35210668067717,33.75,243.75,22.31846083333335
9207,2021,164.08446327318933,28.75,278.75,18.78213583333337
20022,2020,244.4109899981489,38.75,238.75,18.812378444444473
9716,2015,105.66794080085685,36.25,273.75,7.6161950000000145
8512,2019,144.25945564348453,28.75,278.75,22.35516150000003
1811,2018,253.54822472075878,41.25,286.25,13.536979166666692
12782,2020,105.94231410143982,43.75,271.25,10.847044444444458
17332,2020,204.8833704511626,43.75,243.75,12.020983125000019
9723,2016,115.45369839336195,36.25,273.75,14.308752500000011
4740,2017,113.4096783745237,36.25,281.25,18.049994444444483
6253,2020,121.25620251926311,33.75,276.25,20.227030000000028
10369,2017,107.134111662853,36.25,276.25,21.24532000000005
6974,2014,96.83526649311037,28.75,278.75,23.51075391666668
8328,2018,128.07991666701355,28.75,278.75,22.884852370370403
1341,2016,241.94640271012887,41.25,286.25,14.916154638888907
18143,2016,174.02495228978776,36.25,238.75,12.698682500000018
6080,2017,92.47195696965301,33.75,276.25,18.961666666666712
6133,2018,100.03936241378443,33.75,276.25,12.327974166666692
9861,2018,141.1794026964402,36.25,273.75,17.63967687500003
9358,2018,98.84062152405043,33.75,273.75,16.475790000000018
14432,2018,113.58522613082705,38.75,268.75,8.594630000000024
16994,2015,155.78966527251956,43.75,243.75,9.035098666666702
1067,2015,229.75401746983138,41.25,286.25,17.882862000000017
15965,2021,152.3588164388129,41.25,263.75,4.085317500000031
3874,2016,241.32842676152896,38.75,283.75,14.838618333333377
4272,2019,213.88251133235596,38.75,283.75,21.89964500000002
18308,2012,170.92601282618187,38.75,238.75,17.797480384615405
