,Weekday,Month,DateDelta,Zip,Latitude,Longitude,air,precip,ppsf_doll,ppsf_doll_pred,Date,Year
18597,-0.433883739117558,-0.5000000000000004,639.0,95841,38.75,238.75,13.138500000000022,0.69,128.0,121.3,2013-11-01,2013
10022,-0.7818314824680299,1.0,2951.0,37090,36.25,273.75,13.022000000000048,5.36,156.0,153.3,2020-03-01,2020
18062,-0.7818314824680299,-0.5000000000000004,3196.0,92253,33.75,243.75,13.36420000000004,0.16,255.0,261.8,2020-11-01,2020
3423,0.0,-0.866025403784439,243.0,21654,38.75,283.75,15.690120000000036,5.34,208.0,172.6,2012-10-01,2012
14954,0.0,-0.4999999999999997,516.0,68116,41.25,263.75,23.83862000000005,0.66,91.0,91.5,2013-07-01,2013
20188,0.43388373911755823,0.8660254037844387,3347.0,95628,38.75,238.75,16.366240000000005,0.02,293.0,281.9,2021-04-01,2021
18251,-0.7818314824680299,0.8660254037844387,60.0,95678,38.75,238.75,15.405570000000012,1.69,121.0,121.0,2012-04-01,2012
18245,-0.7818314824680299,0.8660254037844387,60.0,95630,38.75,238.75,15.405570000000012,1.69,153.0,152.3,2012-04-01,2012
15089,0.7818314824680298,-0.4999999999999997,881.0,68135,41.25,263.75,22.466940000000022,0.99,95.0,96.5,2014-07-01,2014
19962,-0.7818314824680299,1.0,2951.0,95746,38.75,238.75,12.334500000000048,1.77,292.0,289.9,2020-03-01,2020
8218,0.43388373911755823,0.8660254037844386,2192.0,32730,28.75,278.75,21.827080000000024,0.76,116.0,118.1,2018-02-01,2018
14145,0.9749279121818236,0.8660254037844387,2982.0,61341,41.25,271.25,9.03830000000005,2.9,91.0,83.9,2020-04-01,2020
13862,0.9749279121818236,-0.4999999999999997,1246.0,61364,41.25,271.25,22.880269999999996,2.83,47.0,46.4,2015-07-01,2015
14516,-0.9749279121818236,-0.8660254037844385,3104.0,63383,38.75,268.75,24.69106000000005,2.02,138.0,145.1,2020-08-01,2020
14047,0.9749279121818236,-0.8660254037844385,2373.0,61364,41.25,271.25,23.53335000000004,3.92,53.0,58.2,2018-08-01,2018
10856,-0.7818314824680299,0.5000000000000003,1551.0,44266,41.25,278.75,14.600639999999999,1.84,77.0,80.4,2016-05-01,2016
8694,-0.7818314824680299,-1.0,2769.0,32707,28.75,278.75,28.258970000000033,1.7,148.0,147.4,2019-09-01,2019
6105,0.7818314824680298,-0.8660254037844385,2008.0,30655,33.75,276.25,25.849500000000035,3.6,90.0,91.5,2017-08-01,2017
17554,-0.433883739117558,-0.5000000000000004,639.0,92203,33.75,243.75,13.419759999999997,0.63,125.0,134.1,2013-11-01,2013
20014,0.0,1.2246467991473532e-16,3043.0,95677,38.75,238.75,24.032219999999995,0.03,264.0,266.1,2020-06-01,2020
18236,0.43388373911755823,1.0,29.0,95765,38.75,238.75,11.70016000000004,3.67,126.0,129.8,2012-03-01,2012
19233,0.7818314824680298,-0.5000000000000004,1735.0,95621,38.75,238.75,13.587600000000009,1.98,193.0,194.8,2016-11-01,2016
17474,-0.9749279121818236,-1.0,213.0,92253,33.75,243.75,25.094960000000015,0.05,142.0,138.9,2012-09-01,2012
13436,-0.7818314824680299,-0.4999999999999997,151.0,56450,46.25,266.25,23.492970000000014,3.15,141.0,109.1,2012-07-01,2012
10944,0.7818314824680298,-0.8660254037844385,2008.0,44241,41.25,278.75,20.099500000000035,1.54,104.0,93.1,2017-08-01,2017
2742,0.0,1.0,3316.0,10549,41.25,286.25,5.424400000000048,2.3,285.0,255.4,2021-03-01,2021
14738,0.9749279121818236,0.8660254037844387,2982.0,64093,38.75,266.25,11.53830000000005,3.52,100.0,97.9,2020-04-01,2020
18731,0.7818314824680298,-0.4999999999999997,881.0,95630,38.75,238.75,26.966940000000022,0.03,212.0,214.7,2014-07-01,2014
5913,-0.7818314824680299,1.2246467991473532e-16,851.0,30025,33.75,276.25,25.805139999999994,2.83,74.0,69.2,2014-06-01,2014
17286,0.9749279121818236,0.5000000000000003,2646.0,83704,43.75,243.75,13.636680000000013,1.85,163.0,160.0,2019-05-01,2019
13410,0.7818314824680298,-2.4492935982947064e-16,3226.0,55947,43.75,268.75,-3.307929999999999,0.42,114.0,135.2,2020-12-01,2020
13275,-0.9749279121818236,-1.0,2404.0,55947,43.75,268.75,17.89047000000005,5.1,117.0,112.3,2018-09-01,2018
17423,0.43388373911755823,0.8660254037844387,3347.0,83703,43.75,243.75,9.710000000000036,0.79,331.0,322.6,2021-04-01,2021
17893,-0.7818314824680299,-0.4999999999999997,2342.0,92236,33.75,243.75,29.233180000000004,0.2,154.0,156.6,2018-07-01,2018
13332,-0.7818314824680299,-1.0,2769.0,54603,43.75,268.75,19.071470000000033,5.88,110.0,102.7,2019-09-01,2019
7490,0.43388373911755823,-0.866025403784439,1338.0,32730,28.75,278.75,24.69213000000002,0.99,96.0,93.8,2015-10-01,2015
15980,0.43388373911755823,0.8660254037844387,3347.0,68135,41.25,263.75,10.741240000000005,1.25,134.0,123.8,2021-04-01,2021
19726,-0.433883739117558,0.8660254037844386,2557.0,95677,38.75,238.75,8.77615000000003,7.24,230.0,243.2,2019-02-01,2019
7286,-0.7818314824680299,0.8660254037844386,1096.0,32765,28.75,278.75,14.536600000000021,3.25,115.0,118.5,2015-02-01,2015
17789,0.9749279121818236,0.8660254037844386,1827.0,92210,33.75,243.75,11.34310000000005,1.02,220.0,231.7,2017-02-01,2017
15731,-0.9749279121818236,1.2246467991473532e-16,2677.0,68007,41.25,263.75,22.608330000000024,2.51,130.0,132.5,2019-06-01,2019
18297,-0.7818314824680299,-0.4999999999999997,151.0,95621,38.75,238.75,24.242970000000014,0.05,101.0,113.1,2012-07-01,2012
17914,0.43388373911755823,-0.5000000000000004,2465.0,92203,33.75,243.75,14.453300000000013,0.29,169.0,167.6,2018-11-01,2018
2703,0.0,0.8660254037844386,3288.0,10506,41.25,286.25,-1.1548499999999535,3.09,349.0,313.2,2021-02-01,2021
16840,-0.433883739117558,1.0,394.0,83702,43.75,243.75,5.651640000000043,0.57,136.0,117.5,2013-03-01,2013
10635,0.9749279121818236,0.5000000000000003,455.0,44202,41.25,278.75,16.087199999999996,1.66,104.0,82.7,2013-05-01,2013
19443,-0.7818314824680299,-0.866025403784439,2069.0,95841,38.75,238.75,18.43566000000004,0.04,171.0,190.4,2017-10-01,2017
9578,0.9749279121818236,0.49999999999999994,700.0,37090,36.25,273.75,-0.25399999999996226,2.0,103.0,100.0,2014-01-01,2014
18441,-0.433883739117558,1.0,394.0,95621,38.75,238.75,13.964140000000043,0.78,118.0,132.2,2013-03-01,2013
15607,-0.433883739117558,1.2246467991473532e-16,2312.0,68136,41.25,263.75,24.575900000000047,5.99,121.0,118.1,2018-06-01,2018
18074,-0.433883739117558,0.49999999999999994,3257.0,92253,33.75,243.75,10.259520000000009,1.12,264.0,266.5,2021-01-01,2021
18640,-0.9749279121818236,0.8660254037844386,731.0,95628,38.75,238.75,12.093470000000025,4.55,173.0,165.7,2014-02-01,2014
14705,-0.9749279121818236,-2.4492935982947064e-16,2495.0,64019,38.75,266.25,2.210800000000006,2.66,64.0,81.3,2018-12-01,2018
16394,-0.433883739117558,0.5000000000000003,3012.0,74063,36.25,263.75,19.12673000000001,3.22,101.0,98.5,2020-05-01,2020
19773,0.9749279121818236,0.5000000000000003,2646.0,95621,38.75,238.75,18.167930000000013,1.92,223.0,235.9,2019-05-01,2019
16920,0.7818314824680298,0.8660254037844387,790.0,83704,43.75,243.75,8.605650000000026,1.22,99.0,100.0,2014-04-01,2014
2105,-0.433883739117558,0.8660254037844386,2557.0,10510,41.25,286.25,0.46365000000002965,2.52,273.0,277.3,2019-02-01,2019
10016,-0.9749279121818236,0.8660254037844386,2922.0,37090,36.25,273.75,6.19344000000001,6.5,155.0,151.2,2020-02-01,2020
15043,-0.9749279121818236,1.0,759.0,68118,41.25,263.75,2.3030600000000163,0.17,87.0,84.1,2014-03-01,2014
8823,-0.9749279121818236,0.8660254037844386,2922.0,32701,28.75,278.75,18.44344000000001,1.78,138.0,135.0,2020-02-01,2020
19492,0.0,0.49999999999999994,2161.0,95677,38.75,238.75,10.611080000000015,3.0,230.0,234.8,2018-01-01,2018
13846,0.9749279121818236,0.8660254037844387,1155.0,61350,41.25,271.25,11.830070000000035,2.49,66.0,66.8,2015-04-01,2015
17653,-0.7818314824680299,1.0,1124.0,92236,33.75,243.75,16.07516000000004,0.49,119.0,115.9,2015-03-01,2015
13541,0.43388373911755823,0.8660254037844387,3347.0,56450,46.25,266.25,5.335000000000036,2.13,167.0,123.7,2021-04-01,2021
19402,0.7818314824680298,-0.8660254037844385,2008.0,95677,38.75,238.75,26.19326000000001,0.06,234.0,230.2,2017-08-01,2017
1316,0.9749279121818236,1.2246467991473532e-16,1582.0,10547,41.25,286.25,20.74487000000005,0.95,176.0,214.8,2016-06-01,2016
15448,-0.9749279121818236,0.8660254037844387,1886.0,68069,41.25,263.75,11.460300000000018,2.86,135.0,128.9,2017-04-01,2017
18010,-0.7818314824680299,1.0,2951.0,92203,33.75,243.75,12.178250000000048,1.83,180.0,184.5,2020-03-01,2020
18073,-0.433883739117558,0.49999999999999994,3257.0,92236,33.75,243.75,10.259520000000009,1.12,175.0,169.7,2021-01-01,2021
11049,-0.433883739117558,0.8660254037844386,2557.0,44202,41.25,278.75,-0.6925999999999704,3.07,127.0,127.5,2019-02-01,2019
7389,0.0,1.2246467991473532e-16,1216.0,32751,28.75,278.75,28.042020000000036,3.95,127.0,124.5,2015-06-01,2015
14423,0.0,0.49999999999999994,2161.0,63383,38.75,268.75,-1.1701699999999846,1.14,99.0,111.5,2018-01-01,2018
17491,-0.9749279121818236,-2.4492935982947064e-16,304.0,92236,33.75,243.75,9.201200000000028,0.62,73.0,85.7,2012-12-01,2012
14980,-0.7818314824680299,-1.0,578.0,68136,41.25,263.75,21.212500000000034,1.93,94.0,93.2,2013-09-01,2013
10446,0.0,0.8660254037844387,2616.0,37779,36.25,276.25,15.828640000000007,3.95,76.0,96.5,2019-04-01,2019
4774,-0.7818314824680299,0.8660254037844387,2251.0,27509,36.25,281.25,13.75576000000001,3.35,101.0,108.8,2018-04-01,2018
18133,0.0,1.2246467991473532e-16,1216.0,93927,36.25,238.75,17.292020000000036,0.07,135.0,156.6,2015-06-01,2015
14841,-0.9749279121818236,-1.0,213.0,68022,41.25,263.75,18.344960000000015,0.92,100.0,102.9,2012-09-01,2012
14903,-0.433883739117558,0.8660254037844386,366.0,68136,41.25,263.75,-1.6075199999999654,0.43,85.0,88.0,2013-02-01,2013
4565,-0.433883739117558,1.2246467991473532e-16,121.0,27581,36.25,281.25,22.87002000000001,1.92,100.0,92.1,2012-06-01,2012
15042,-0.9749279121818236,1.0,759.0,68116,41.25,263.75,2.3030600000000163,0.17,93.0,89.9,2014-03-01,2014
18531,0.43388373911755823,-0.8660254037844385,547.0,95621,38.75,238.75,24.337900000000047,0.05,145.0,154.9,2013-08-01,2013
15049,0.7818314824680298,0.8660254037844387,790.0,68007,41.25,263.75,10.730650000000026,2.15,94.0,97.8,2014-04-01,2014
10431,-0.9749279121818236,-2.4492935982947064e-16,2495.0,37807,36.25,276.25,5.648300000000006,6.28,118.0,111.1,2018-12-01,2018
10848,-0.433883739117558,0.8660254037844387,1521.0,44241,41.25,278.75,8.322230000000047,2.58,94.0,100.0,2016-04-01,2016
19265,0.43388373911755823,-2.4492935982947064e-16,1765.0,95843,38.75,238.75,8.298330000000021,3.33,182.0,181.2,2016-12-01,2016
17296,0.0,-0.4999999999999997,2707.0,83702,43.75,243.75,22.547020000000032,0.09,266.0,264.0,2019-07-01,2019
15877,0.9749279121818236,-0.4999999999999997,3073.0,68069,41.25,263.75,25.325620000000015,3.16,175.0,150.3,2020-07-01,2020
15207,0.0,1.2246467991473532e-16,1216.0,68116,41.25,263.75,22.260770000000036,4.64,96.0,94.7,2015-06-01,2015
15860,-0.433883739117558,0.5000000000000003,3012.0,68136,41.25,263.75,15.40798000000001,3.11,133.0,124.4,2020-05-01,2020
17103,0.7818314824680298,-0.5000000000000004,1735.0,83616,43.75,243.75,6.212600000000009,0.48,146.0,145.3,2016-11-01,2016
16860,-0.9749279121818236,1.2246467991473532e-16,486.0,83704,43.75,243.75,18.370400000000018,0.59,89.0,97.3,2013-06-01,2013
8169,-0.433883739117558,-2.4492935982947064e-16,2130.0,32751,28.75,278.75,17.862420000000043,1.06,149.0,152.4,2017-12-01,2017
13131,-0.7818314824680299,0.5000000000000003,1551.0,54601,43.75,268.75,15.225639999999999,2.8,87.0,90.7,2016-05-01,2016
17480,0.0,-0.866025403784439,243.0,92253,33.75,243.75,18.846370000000036,0.02,139.0,134.9,2012-10-01,2012
18121,-0.7818314824680299,1.2246467991473532e-16,851.0,93927,36.25,238.75,16.336400000000026,0.01,129.0,120.0,2014-06-01,2014
16517,0.0,-0.4999999999999997,2707.0,75476,33.75,263.75,28.734520000000032,0.16,106.0,96.7,2019-07-01,2019
12746,0.0,-0.4999999999999997,2707.0,53963,43.75,271.25,23.515770000000032,3.16,87.0,95.2,2019-07-01,2019
11174,0.43388373911755823,-0.866025403784439,3165.0,44266,41.25,278.75,10.75436000000002,4.1,102.0,97.1,2020-10-01,2020
8120,-0.7818314824680299,-0.866025403784439,2069.0,32773,28.75,278.75,24.65440000000001,3.44,111.0,120.3,2017-10-01,2017
13260,-0.433883739117558,1.2246467991473532e-16,2312.0,55947,43.75,268.75,21.669640000000015,4.22,123.0,122.3,2018-06-01,2018
6234,0.7818314824680298,-0.866025403784439,2799.0,30054,33.75,276.25,19.975400000000036,3.61,112.0,104.5,2019-10-01,2019
13691,-0.9749279121818236,-1.0,213.0,61350,41.25,271.25,18.032460000000015,1.95,73.0,71.8,2012-09-01,2012
